Title,Speaker,Day,Time,Place,Description
Fundamentals of programming in Python (cont&#39;d),Serdar Tumgoren,Saturday,10 a.m. - 10:50 a.m.,Kentucky Suite,
Access 2,Liz Lucas,Saturday,10 a.m. - 10:50 a.m.,Shawnee/Cherokee,An overview of summarizing databases with counting and summing using SQL in Microsoft Access.
Beyond mapping: Data analysis using Fusion Tables,"Daniel Lathrop, Matt Stiles",Saturday,10 a.m. - 10:50 a.m.,Gulfstream/Hialeah,
Prying it loose: Data negotiation and acquisition,"Roby Alampay, Andy Lehren",Saturday,10 a.m. - 10:50 a.m.,Regency South,
Inside baseball: What data journalism can learn from sports,"Ryan Pitts, Matthew Waite, Jeremy Bowers",Saturday,10 a.m. - 10:50 a.m.,Regency North,"This panel will identify areas for data journalism exploration by examining the current state-of-the-art baseball data analysis. Sports are the original form of data journalism -- box scores predate open government movements by about a century. And Joseph Adler's ""Baseball Hacks"" trained newbie Web CAR reporters how to scrape and analyze data sets using Perl and MySQL. Finally, sports analytics are a leading indicator for other kinds of analysis. Sensors, economic analysis, leverage are all de rigeur in baseball but still up-and-coming in data journalism. We'll take the concepts being used to analyze baseball, football, soccer and apply them to standard data journalism chores. A good example of this is leverage -- in baseball, an analyst attempts to find those situations in which a player had the greatest opportunity to change the outcome of a game. In data journalism, we might use a similar tool to analyze critical paths to an election win for a candidate or put together a network graph for bundled contributions to PACs."
Access 3,Aaron Kessler,Saturday,11 a.m. - 11:50 a.m.,Shawnee/Cherokee,"Learn how to join tables, matching information from one file to another, using SQL in Microsoft Access."
Data tactics for the well-rounded business reporter,"Wendell Cochran, Edmund Tadros",Saturday,11 a.m. - 11:50 a.m.,Regency Center,
Scraping with Node.js,Al Shaw,Saturday,11 a.m. - 11:50 a.m.,Kentucky Suite,
Developing reusable visualization components using D3 and Backbone,Alastair Dant,Saturday,11 a.m. - 11:50 a.m.,Churchill Downs,
Getting data into Excel,Liz Lucas,Saturday,11 a.m. - 11:50 a.m.,Gulfstream/Hialeah,
How to edit a news app,"Scott Klein, Aron Pilhofer",Saturday,11 a.m. - 11:50 a.m.,Regency South,"There's a lot to think about when it comes to news apps, but not all of it is coding. What story is it telling? Does it tell it consistently and in a fact-based way? Does the story it tells agree with the reporting (and if not who's got explaining to do!) What's the lede, what's the nut (yes, apps have those)."
SPSS 3: Using logistic regression,Jennifer LaFleur,Saturday,11 a.m. - 11:50 a.m.,Keeneland,"Linear regression helps you find relationships between two or more variables, but when an outcome has only two possibilities, you need a different tool. That, my friends, is where logistic regression comes in."
Dashboards for reporting,"Aaron Bycoffe, Jacob Harris, Derek Willis",Saturday,11 a.m. - 11:50 a.m.,Regency North,"For newsrooms that need to cope with regularly-updated data, the ability to provide both real-time access and custom views to pinpoint newsworthy events is crucial. This panel will discuss some of the considerations when building and maintaining data dashboards, and show some examples of dashboards in action."
Painless scraping with Helium Scraper,Sarah Cohen,Saturday,2 p.m. - 2:50 p.m.,Churchill Downs,"Helium Scraper is a reasonably low-cost ($140) solution for a lot of scraping chores, even if it&rsquo;s not the magic bullet. This demonstration will show you when it might work for your project and give examples of how it works."
Maps and charts in R: real newsroom examples,Amanda Cox,Saturday,2 p.m. - 2:50 p.m.,Gulfstream/Hialeah,
Mini-Boot Camp (Saturday) Team A,TBA,Saturday,2 p.m. - 4:50 p.m.,Seneca/Iroquois,*Pre-registered attendees only.
Mini-Boot Camp (Saturday) Team B,TBA,Saturday,2 p.m. - 4:50 p.m.,Shawnee/Cherokee,*Pre-registered attendees only
Python programming for the rest of us 1: Google Fusion Tables - the gateway drug,"Ronald Campbell, Christopher Schnaars",Saturday,2 p.m. - 2:50 p.m.,Kentucky Suite,"This three-part class is designed for data journalists who are comfortable with the basic tools of our craft but intimidated by the ""p-word"" and think Aron Pilhofer has signed a pact with the devil. We will cover the basics and show you how a little programming can save you hours or days of time and make you look like a genius to your boss. Requirements: a laptop, a Google sign-in and curiosity."
Infect the CMS,"Jacob Harris, Al Shaw, Heather Billings",Saturday,2 p.m. - 2:50 p.m.,Regency North,"We web developers strive for rugged independence. The luckiest of us have total control over our web stacks and the design of our projects, unlike those poor sods forced to labor within the Content Management System (CMS). Therein lies the problem; being apart means being invisible unless you spread your content to the CMS and beyond. This panel will discuss some strategies and experiences for getting your app content to find readers where they are."
Git &amp; Github: Learning to commit to version control,Tom Meagher,Saturday,2 p.m. - 2:50 p.m.,Keeneland,
Dodging disasters: How to avoid making errors with data,"Megan Luther, Liz Lucas, John Perry",Saturday,2 p.m. - 2:50 p.m.,Regency South,
State of the Unions,"MaryJo Webster, Tom McGinty",Saturday,2 p.m. - 2:50 p.m.,Regency Center,"Labor unions may be struggling to maintain their membership, but they still play a pivotal role in the nation&rsquo;s economy and politics. Tom and Mary Jo will discuss data you can use to dig into the public and private-sector unions in your region, shedding light on their finances, their membership and the ways they wield their considerable power."
Make the robots work for you - implementing PANDA in your newsroom,"Brian Boyer, Christopher Groskopf, Nolan Hicks, David Eads",Saturday,3 p.m. - 3:50 p.m.,Churchill Downs,"Wouldn't it be sweet if you got an email when something newsworthy happens? Wouldn't that make your job easier? Well, have we got news for you. Learn about implementing PANDA in your newsroom and automating your data chores."
Finding stories in health data,"David Donald, Charles Ornstein, Michael Pell",Saturday,3 p.m. - 3:50 p.m.,Regency Center,
Going beyond the obvious: Creative uses for data,"Ryann Grochowski, Terri Langford",Saturday,3 p.m. - 3:50 p.m.,Regency South,
Python programming for the rest of us 2: Basic Python,"Christopher Schnaars, Ronald Campbell",Saturday,3 p.m. - 3:50 p.m.,Kentucky Suite,"This three-part class is designed for data journalists who are comfortable with the basic tools of our craft but intimidated by the ""p-word"" and think Aron Pilhofer has signed a pact with the devil. We will cover the basics and show you how a little programming can save you hours or days of time and make you look like a genius to your boss. Requirements: a laptop, a Google sign-in and curiosity."
Mapping 1 with qGIS: Displaying data geographically,David Herzog,Saturday,3 p.m. - 3:50 p.m.,Keeneland,
Making timelines,"Lena Groeger, Krista Kjellman Schmidt",Saturday,3 p.m. - 3:50 p.m.,Gulfstream/Hialeah,
(Way) beyond charts: Making interactive fun,"Tasneem Raja, Sisi Wei",Saturday,3 p.m. - 3:50 p.m.,Regency North,
Python programming for the rest of us 3: Webscraping for dummies,"Ronald Campbell, Christopher Schnaars",Saturday,4 p.m. - 4:50 p.m.,Kentucky Suite,"This three-part class is designed for data journalists who are comfortable with the basic tools of our craft but intimidated by the ""p-word"" and think Aron Pilhofer has signed a pact with the devil. We will cover the basics and show you how a little programming can save you hours or days of time and make you look like a genius to your boss. Requirements: a laptop, a Google sign-in and curiosity."
Data journalism around the globe,"Helena Bengtsson, John Bones, Nils Mulvad, Sebastian Mondial",Saturday,4 p.m. - 4:50 p.m.,Regency South,"**Moderated by Nils Mulvad, Kaas &amp; Mulvad"
Using CAR to hold the powerful accountable,"Jack Gillum, Kate Golden",Saturday,4 p.m. - 4:50 p.m.,Regency Center,
Campaign finance the data science way,"Brandon Roberts, Chase Davis",Saturday,4 p.m. - 4:50 p.m.,Regency North,"**Moderated by Chase Davis, Hot Type Consulting"
Connecting the dots with NodeXL,Peter Aldhous,Saturday,4 p.m. - 4:50 p.m.,Gulfstream/Hialeah,
Wrangling Web data with Google docs - advanced course,Steven Melendez,Saturday,4 p.m. - 4:50 p.m.,Churchill Downs,"Lots of people use Google Docs. But many of them don't know about the Google Apps Script language, which makes it possible to scrape data from across the web and from Google's geography, finance, machine learning and other APIs, then present and analyze the data in a Google Spreadsheet. This session will demonstrate the basics of Apps Script by building a spreadsheet that automatically imports new data from a public source every morning and sends an email when it comes across something interesting."
Mapping 2 with qGIS: Importing and selecting data by attribute,David Herzog,Saturday,4 p.m. - 4:50 p.m.,Keeneland,
CAR Conference Sales (Sunday),TBA,Sunday,8:30 a.m. - 10:30 a.m.,2nd Floor,"Stop by the IRE sales table and take a look at our merchandise. We will be selling books, including the newest title in the IRE beat book series. The large selection of titles we carry will certainly include your interests. The winners of the IRE T-shirt contest will be displayed and on sale. The sales table is also the place to get your ticket to ""A Night on the Town"" an event that is sure to be a fun time! All proceeds from your purchase help support IRE and its mission."
Mapping best practices,"John Keefe, Matt Stiles, Eric Gundersen",Sunday,9 a.m. - 9:50 a.m.,Regency Center,
Investigating online,Mark Horvit,Sunday,9 a.m. - 9:50 a.m.,Regency North,
Mini-Boot Camp (Sunday) Combined,TBA,Sunday,9 a.m. - 10:50 a.m.,Seneca/Iroquois,*Pre-registered attendees only
Intro to mapping with Fusion Tables,Jaimi Dowdell,Sunday,9 a.m. - 9:50 a.m.,Shawnee/Cherokee,
Career development roundtable,"Anthony DeBarros, Jennifer LaFleur, Mark Horvit, Aron Pilhofer",Sunday,10 a.m. - 10:50 a.m.,Regency Center,&nbsp;
How (not) to be a danger to yourself and others using the command line,Ted Han,Sunday,10 a.m. - 10:50 a.m.,Shawnee/Cherokee,
Finding data online,Jaimi Dowdell,Sunday,10 a.m. - 10:50 a.m.,Regency North,
